inventory_id,warehouse_id,product_id,quantity,reorder_level,stock_status,last_updated
INV00001,W007,P0054,488,77,In Stock,2025-08-31
INV00002,W013,P0197,564,117,In Stock,2025-11-09
INV00003,W005,P0097,762,93,In Stock,2025-12-14
INV00004,W004,P0162,902,100,In Stock,2025-12-07
INV00005,W012,P0067,669,127,In Stock,2026-01-15
INV00006,W012,P0184,524,106,In Stock,2025-12-14
INV00007,W019,P0045,763,148,In Stock,2026-02-13
INV00008,W016,P0054,218,126,In Stock,2026-03-11
INV00009,W009,P0115,389,119,In Stock,2025-12-14
INV00010,W006,P0055,379,67,In Stock,2026-04-02
INV00011,W004,P0094,492,112,In Stock,2025-09-27
INV00012,W001,P0086,26,22,In Stock,2026-02-08
INV00013,W012,P0080,332,128,In Stock,2026-06-24
INV00014,W004,P0026,99,91,In Stock,2026-03-02
INV00015,W004,P0098,754,62,In Stock,2026-01-04
INV00016,W018,P0121,435,74,In Stock,2026-02-22
INV00017,W009,P0047,372,90,In Stock,2026-05-18
INV00018,W019,P0152,202,150,In Stock,2026-06-18
INV00019,W014,P0141,607,148,In Stock,2025-10-14
INV00020,W015,P0102,574,65,In Stock,2026-03-08
INV00021,W001,P0111,258,147,In Stock,2026-04-27
INV00022,W011,P0138,902,143,In Stock,2026-01-25
INV00023,W020,P0183,402,36,In Stock,2026-05-20
INV00024,W017,P0133,319,111,In Stock,2025-12-24
INV00025,W008,P0149,967,55,In Stock,2026-07-18
INV00026,W017,P0013,234,48,In Stock,2025-10-30
INV00027,W016,P0048,19,99,Low Stock,2026-06-29
INV00028,W004,P0085,54,54,Low Stock,2026-05-18
INV00029,W009,P0179,113,71,In Stock,2026-06-22
INV00030,W014,P0070,542,65,In Stock,2026-01-18
INV00031,W004,P0112,265,41,In Stock,2025-10-21
INV00032,W006,P0106,426,26,In Stock,2026-02-16
INV00033,W019,P0082,232,40,In Stock,2025-11-01
INV00034,W015,P0188,140,84,In Stock,2026-02-26
INV00035,W003,P0136,768,103,In Stock,2026-06-07
INV00036,W016,P0049,130,77,In Stock,2025-12-17
INV00037,W015,P0157,782,92,In Stock,2025-10-11
INV00038,W018,P0013,589,148,In Stock,2025-10-08
INV00039,W017,P0004,172,34,In Stock,2026-07-31
INV00040,W008,P0177,977,93,In Stock,2026-05-09
INV00041,W009,P0081,495,143,In Stock,2026-05-17
INV00042,W014,P0078,974,96,In Stock,2026-02-13
INV00043,W005,P0066,175,113,In Stock,2026-02-19
INV00044,W014,P0067,709,80,In Stock,2026-01-17
INV00045,W018,P0172,545,20,In Stock,2026-02-15
