supplier_id,supplier_name,city,state
S0001,Future Retail Supply 1,Bangalore,Karnataka
S0002,Safal Frozen Foods 2,Ahmedabad,Gujarat
S0003,Dabur India 3,Jaipur,Rajasthan
S0004,ABC Distributors 4,Mumbai,Maharashtra
S0005,Reliance Retail Supply 5,Lucknow,Uttar Pradesh
S0006,Metro Cash & Carry 6,Delhi,Delhi
S0007,Godrej Consumer 7,Kolkata,West Bengal
S0008,Parle Products 8,Jaipur,Rajasthan
S0009,Future Retail Supply 9,Delhi,Delhi
S0010,Nestle India 10,Chennai,Tamil Nadu
S0011,ITC Foods 11,Pune,Maharashtra
S0012,Coca Cola India 12,Mumbai,Maharashtra
S0013,Office Essentials 13,Mumbai,Maharashtra
S0014,D-Mart Wholesale 14,Chennai,Tamil Nadu
S0015,Hindustan Unilever 15,Delhi,Delhi
S0016,Safal Frozen Foods 16,Hyderabad,Telangana
S0017,Colgate India 17,Delhi,Delhi
S0018,Patanjali Foods 18,Pune,Maharashtra
S0019,Godrej Consumer 19,Chennai,Tamil Nadu
S0020,Amul Distribution 20,Delhi,Delhi
S0021,BigBasket Suppliers 21,Kolkata,West Bengal
S0022,Pepsi Supply Chain 22,Kolkata,West Bengal
S0023,ABC Distributors 23,Pune,Maharashtra
S0024,Coca Cola India 24,Hyderabad,Telangana
S0025,Amul Distribution 25,Lucknow,Uttar Pradesh
S0026,ITC Foods 26,Jaipur,Rajasthan
S0027,Nestle India 27,Pune,Maharashtra
S0028,Metro Cash & Carry 28,Pune,Maharashtra
S0029,Dabur India 29,Chennai,Tamil Nadu
S0030,BigBasket Suppliers 30,Lucknow,Uttar Pradesh
S0031,Fresh Foods Pvt Ltd 31,Ahmedabad,Gujarat
S0032,Parle Products 32,Hyderabad,Telangana
S0033,Patanjali Foods 33,Kolkata,West Bengal
S0034,Pepsi Supply Chain 34,Hyderabad,Telangana
S0035,Pepsi Supply Chain 35,Bangalore,Karnataka
S0036,Reliance Retail Supply 36,Jaipur,Rajasthan
S0037,Future Retail Supply 37,Lucknow,Uttar Pradesh
S0038,BigBasket Suppliers 38,Delhi,Delhi
S0039,Parle Products 39,Jaipur,Rajasthan
S0040,McCain India 40,Delhi,Delhi
S0041,Fresh Foods Pvt Ltd 41,Delhi,Delhi
S0042,ABC Distributors 42,Lucknow,Uttar Pradesh
S0043,D-Mart Wholesale 43,Kolkata,West Bengal
S0044,Pepsi Supply Chain 44,Bangalore,Karnataka
S0045,Marico Limited 45,Mumbai,Maharashtra
S0046,Hindustan Unilever 46,Kolkata,West Bengal
S0047,D-Mart Wholesale 47,Pune,Maharashtra
S0048,Patanjali Foods 48,Mumbai,Maharashtra
S0049,Britannia Foods 49,Jaipur,Rajasthan
S0050,D-Mart Wholesale 50,Delhi,Delhi
