product_id,product_name,category,brand,cost_price,selling_price
P0001,Yakult Small,Dairy,Yakult,525,711.01
P0002,Mother Dairy Milk 750ml,Dairy,Mother Dairy,228,318.95
P0003,Yakult 200g,Dairy,Yakult,263,307.09
P0004,Apsara Pencil 1L,Stationery,Apsara,40,47.98
P0005,Coca Cola Medium,Beverages,Coca Cola,514,616.49
P0006,Britannia Bread 200g,Bakery,Britannia,485,615.25
P0007,French Fries 750ml,Frozen Foods,McCain,65,86.6
P0008,Frozen Peas 100g,Frozen Foods,Safal,533,707.65
P0009,Dove Soap 750ml,Personal Care,Dove,103,127.01
P0010,Cello Pen 500ml,Stationery,Cello,199,275.52
P0011,Mother Dairy Milk Small,Dairy,Mother Dairy,230,311.47
P0012,Harpic 200g,Household,Harpic,274,342.53
P0013,Camlin Eraser 2L,Stationery,Camlin,489,678.5
P0014,Lay's Magic Masala 500ml,Snacks,Lay's,214,248.91
P0015,Ariel Detergent 100g,Household,Ariel,370,435.76
P0016,Amul Butter Small,Dairy,Amul,470,646.11
P0017,Frozen Peas 2L,Frozen Foods,Safal,370,438.91
P0018,Croissant 250ml,Bakery,Britannia,506,693.16
P0019,Sprite 750ml,Beverages,Coca Cola,332,452.83
P0020,Cello Pen 100g,Stationery,Cello,504,658.43
P0021,Ice Cream 2L,Frozen Foods,Amul,208,244.16
P0022,Cello Pen 200g,Stationery,Cello,369,456.03
P0023,Ariel Detergent Large,Household,Ariel,523,673.26
P0024,Britannia Bread 2L,Bakery,Britannia,416,574.38
P0025,Amul Cheese Large,Dairy,Amul,347,464.04
P0026,Mother Dairy Milk Small,Dairy,Mother Dairy,304,424.88
P0027,Ariel Detergent 500ml,Household,Ariel,56,78.28
P0028,Cello Pen Large,Stationery,Cello,146,169.73
P0029,Apsara Pencil Large,Stationery,Apsara,295,380.84
P0030,Camel Sketch Pen 2L,Stationery,Camel,102,129.09
P0031,Muffin 100g,Bakery,Britannia,351,475.72
P0032,Camel Sketch Pen 1L,Stationery,Camel,466,562.17
P0033,Ariel Detergent 2L,Household,Ariel,242,316.3
P0034,Lux Soap Large,Personal Care,Lux,80,98.84
P0035,Kurkure Medium,Snacks,Kurkure,494,613.51
P0036,Harpic Small,Household,Harpic,454,550.45
P0037,Kurkure Large,Snacks,Kurkure,435,536.12
P0038,Mother Dairy Milk 200g,Dairy,Mother Dairy,170,210.73
P0039,Amul Milk 200g,Dairy,Amul,574,696.37
P0040,Camel Sketch Pen Medium,Stationery,Camel,435,533.67
P0041,Amul Cheese 250ml,Dairy,Amul,361,471.27
P0042,Nivea Face Wash 2L,Personal Care,Nivea,214,276.02
P0043,Colgate Toothpaste 2L,Personal Care,Colgate,582,759.88
P0044,Britannia Bread 100g,Bakery,Britannia,384,509.99
P0045,Clinic Plus Shampoo 750ml,Personal Care,Clinic Plus,63,74.54
P0046,Amul Cheese 2L,Dairy,Amul,451,602.93
P0047,Lay's Magic Masala 1L,Snacks,Lay's,381,519.72
P0048,Frozen Corn Small,Frozen Foods,Safal,144,197.9
P0049,Frozen Corn 2L,Frozen Foods,Safal,169,200.77
P0050,Fanta 1L,Beverages,Coca Cola,352,407.27
P0051,Britannia Cake 100g,Bakery,Britannia,170,229.62
P0052,Yakult 2L,Dairy,Yakult,539,697.25
P0053,Muffin 2L,Bakery,Britannia,166,208.63
P0054,Harpic 100g,Household,Harpic,258,298.13
P0055,Britannia Cake 2L,Bakery,Britannia,595,691.95
P0056,Apsara Pencil 500ml,Stationery,Apsara,57,73.8
P0057,Surf Excel 200g,Household,Surf Excel,361,500.43
P0058,Lizol Cleaner 750ml,Household,Lizol,504,607.88
P0059,Harpic 750ml,Household,Harpic,540,691.04
P0060,Lay's Classic 500ml,Snacks,Lay's,190,220.07
P0061,Cello Pen 750ml,Stationery,Cello,365,427.25
P0062,Kurkure 750ml,Snacks,Kurkure,118,152.46
P0063,Britannia Bread 1L,Bakery,Britannia,131,152.21
P0064,Camel Sketch Pen Medium,Stationery,Camel,94,124.23
P0065,Mountain Dew Large,Beverages,Pepsi,98,114.36
P0066,Mother Dairy Milk 2L,Dairy,Mother Dairy,120,156.35
P0067,Cello Pen Large,Stationery,Cello,471,610.98
P0068,Coca Cola 2L,Beverages,Coca Cola,181,244.39
P0069,Harvest Gold Bread 1L,Bakery,Harvest Gold,571,779.75
P0070,Bingo Mad Angles 1L,Snacks,Bingo,382,468.0
P0071,Camlin Eraser 100g,Stationery,Camlin,232,324.09
P0072,Frozen Pizza 750ml,Frozen Foods,McCain,584,712.27
P0073,Britannia Cake Small,Bakery,Britannia,96,114.95
P0074,Ice Cream 750ml,Frozen Foods,Amul,265,318.47
P0075,Amul Butter Large,Dairy,Amul,126,153.98
P0076,Cello Pen 100g,Stationery,Cello,266,366.83
P0077,Lay's Classic 1L,Snacks,Lay's,541,705.01
