order_id,customer_id,product_id,warehouse_id,quantity,selling_price,discount,final_amount,payment_method,order_status,order_date
O000001,C0037,P0195,W013,2,194.61,53.54,335.68,Credit Card,Cancelled,2025-11-27
O000002,C0051,P0091,W005,6,128.87,73.94,699.28,Net Banking,Pending,2025-08-22
O000003,C0280,P0058,W009,4,607.88,313.78,2117.74,Cash,Pending,2026-04-29
O000004,C0411,P0192,W014,4,392.33,310.35,1258.97,Cash,Pending,2025-10-01
O000005,C0387,P0189,W002,5,416.57,201.72,1881.13,Cash,Cancelled,2026-06-02
O000006,C0331,P0022,W002,7,456.03,86.71,3105.5,Credit Card,Cancelled,2026-02-02
O000007,C0490,P0169,W005,8,685.11,14.99,5465.89,Credit Card,Completed,2026-06-05
O000008,C0222,P0104,W005,6,61.8,1.0,369.8,Debit Card,Cancelled,2026-05-01
O000009,C0487,P0173,W017,8,112.19,133.68,763.84,Net Banking,Pending,2025-09-02
O000010,C0171,P0182,W015,10,103.87,47.89,990.81,Credit Card,Completed,2026-05-27
O000011,C0419,P0013,W017,7,678.5,540.11,4209.39,Credit Card,Pending,2026-01-07
O000012,C0157,P0039,W004,7,696.37,422.35,4452.24,Net Banking,Pending,2026-07-19
O000013,C0161,P0194,W003,2,316.48,111.84,521.12,Credit Card,Completed,2025-11-20
O000014,C0388,P0184,W017,1,600.98,99.47,501.51,Credit Card,Completed,2026-06-27
O000015,C0351,P0162,W012,8,472.72,185.63,3596.13,Net Banking,Cancelled,2026-06-16
O000016,C0418,P0034,W013,1,98.84,8.98,89.86,Debit Card,Cancelled,2026-01-25
O000017,C0193,P0067,W017,4,610.98,308.05,2135.87,Credit Card,Pending,2026-04-21
O000018,C0035,P0068,W001,1,244.39,5.86,238.53,Credit Card,Completed,2026-04-04
O000019,C0486,P0073,W001,3,114.95,10.66,334.19,Net Banking,Cancelled,2026-01-07
O000020,C0169,P0009,W015,7,127.01,23.02,866.05,UPI,Pending,2025-11-06
O000021,C0442,P0019,W017,3,452.83,2.22,1356.27,Credit Card,Pending,2025-09-28
O000022,C0472,P0071,W006,3,324.09,87.28,884.99,Credit Card,Cancelled,2026-04-29
O000023,C0242,P0019,W008,1,452.83,29.15,423.68,UPI,Cancelled,2026-07-28
O000024,C0182,P0059,W016,7,691.04,792.41,4044.87,UPI,Completed,2026-05-20
O000025,C0241,P0031,W015,4,475.72,133.19,1769.69,Credit Card,Cancelled,2025-08-09
O000026,C0426,P0078,W018,2,134.38,7.83,260.93,Debit Card,Pending,2025-11-04
O000027,C0048,P0158,W003,6,498.73,346.15,2646.23,Net Banking,Completed,2026-07-06
O000028,C0041,P0078,W007,9,134.38,146.53,1062.89,Cash,Cancelled,2026-01-09
O000029,C0149,P0126,W005,10,352.47,295.38,3229.32,Cash,Completed,2026-02-27
O000030,C0027,P0038,W009,4,210.73,46.57,796.35,Net Banking,Pending,2026-03-14
O000031,C0032,P0096,W006,3,223.64,132.76,538.16,Cash,Completed,2026-02-20
O000032,C0435,P0160,W004,6,103.95,96.58,527.12,Net Banking,Completed,2026-04-02
O000033,C0023,P0143,W014,10,276.16,380.85,2380.75,Credit Card,Pending,2025-12-27
O000034,C0012,P0113,W009,8,229.52,366.81,1469.35,Credit Card,Pending,2025-10-02
O000035,C0432,P0119,W014,2,123.87,1.32,246.42,Credit Card,Completed,2026-05-12
O000036,C0494,P0014,W014,7,248.91,111.73,1630.64,Cash,Pending,2026-07-04
O000037,C0469,P0107,W010,7,223.7,297.54,1268.36,Cash,Pending,2025-11-16
O000038,C0103,P0199,W013,4,550.92,91.18,2112.5,Cash,Completed,2025-10-24
O000039,C0232,P0009,W010,5,127.01,49.38,585.67,Debit Card,Completed,2026-07-25
O000040,C0367,P0143,W013,10,276.16,503.5,2258.1,Debit Card,Completed,2025-09-26
O000041,C0260,P0066,W006,9,156.35,237.34,1169.81,Net Banking,Completed,2026-01-31
O000042,C0271,P0007,W009,6,86.6,40.67,478.93,Debit Card,Pending,2025-10-04
O000043,C0354,P0091,W020,8,128.87,133.68,897.28,Net Banking,Completed,2026-06-23
O000044,C0458,P0008,W020,4,707.65,387.81,2442.79,Credit Card,Completed,2025-09-12
O000045,C0010,P0043,W020,8,759.88,719.44,5359.6,Net Banking,Cancelled,2025-11-20
O000046,C0158,P0161,W002,9,792.47,1259.84,5872.39,Cash,Pending,2026-04-22
O000047,C0444,P0142,W018,4,465.39,99.1,1762.46,Credit Card,Completed,2026-04-02
O000048,C0356,P0173,W009,9,112.19,46.52,963.19,Net Banking,Cancelled,2025-08-28
O000049,C0103,P0125,W002,1,184.54,14.96,169.58,Cash,Completed,2026-05-12
O000050,C0244,P0048,W019,10,197.9,386.67,1592.33,UPI,Cancelled,2026-06-10
O000051,C0394,P0005,W009,7,616.49,17.55,4297.88,Cash,Cancelled,2025-10-15
O000052,C0204,P0109,W003,6,51.49,31.02,277.92,UPI,Cancelled,2026-02-15
O000053,C0016,P0104,W014,10,61.8,4.43,613.57,Debit Card,Pending,2026-06-25
O000054,C0156,P0019,W011,10,452.83,446.16,4082.14,Credit Card,Completed,2025-09-26
O000055,C0069,P0163,W020,4,561.9,246.75,2000.85,Debit Card,Pending,2026-02-26
O000056,C0286,P0133,W012,7,659.87,392.89,4226.2,Credit Card,Completed,2025-08-18
O000057,C0100,P0193,W013,1,327.81,54.53,273.28,Net Banking,Completed,2026-07-18
O000058,C0185,P0162,W001,9,472.72,280.66,3973.82,Credit Card,Pending,2025-11-14
O000059,C0483,P0059,W010,2,691.04,36.52,1345.56,Debit Card,Pending,2026-08-04
O000060,C0074,P0060,W009,3,220.07,97.22,562.99,Net Banking,Pending,2026-05-27
O000061,C0393,P0090,W008,1,414.11,45.38,368.73,Debit Card,Cancelled,2026-03-11
O000062,C0123,P0174,W004,8,288.11,187.73,2117.15,Credit Card,Completed,2025-09-17
O000063,C0421,P0190,W007,2,537.59,143.49,931.69,UPI,Cancelled,2025-09-24
O000064,C0139,P0130,W004,2,247.63,39.37,455.89,UPI,Cancelled,2026-04-05
O000065,C0279,P0166,W011,9,399.5,642.13,2953.37,Credit Card,Completed,2025-11-01
O000066,C0304,P0134,W008,4,127.8,60.69,450.51,UPI,Completed,2026-06-19
O000067,C0321,P0118,W007,7,545.32,547.81,3269.43,UPI,Cancelled,2026-07-06
O000068,C0276,P0038,W007,4,210.73,151.95,690.97,Cash,Completed,2025-09-11
O000069,C0044,P0070,W003,7,468.0,74.57,3201.43,Credit Card,Completed,2025-08-27
O000070,C0130,P0109,W015,3,51.49,8.19,146.28,UPI,Pending,2025-08-23
O000071,C0293,P0026,W004,1,424.88,84.77,340.11,Net Banking,Cancelled,2025-10-29
O000072,C0086,P0012,W014,8,342.53,422.72,2317.52,Net Banking,Completed,2026-06-03
O000073,C0406,P0089,W008,2,380.36,1.35,759.37,Net Banking,Pending,2026-03-23
O000074,C0053,P0131,W008,2,381.9,57.61,706.19,UPI,Completed,2025-11-15
O000075,C0392,P0055,W008,4,691.95,484.97,2282.83,Credit Card,Pending,2026-06-16
O000076,C0074,P0156,W018,6,716.77,156.53,4144.09,Net Banking,Pending,2026-04-17
O000077,C0053,P0188,W009,9,149.25,177.59,1165.66,Net Banking,Completed,2025-11-07
O000078,C0150,P0057,W011,5,500.43,120.01,2382.14,Net Banking,Cancelled,2026-03-16
O000079,C0062,P0191,W017,4,583.75,422.59,1912.41,Debit Card,Completed,2026-01-19
O000080,C0492,P0027,W009,1,78.28,2.28,76.0,UPI,Pending,2026-03-27
O000081,C0100,P0177,W013,6,764.51,728.24,3858.82,UPI,Cancelled,2025-10-05
O000082,C0223,P0082,W011,5,524.26,416.81,2204.49,Credit Card,Completed,2025-10-18
O000083,C0253,P0044,W013,4,509.99,73.07,1966.89,UPI,Completed,2026-07-14
O000084,C0259,P0116,W016,1,446.14,75.78,370.36,UPI,Completed,2026-01-02
O000085,C0068,P0198,W013,9,369.55,371.97,2953.98,UPI,Completed,2026-05-26
O000086,C0156,P0065,W007,6,114.36,115.89,570.27,UPI,Completed,2025-12-25
O000087,C0232,P0171,W016,6,165.53,80.5,912.68,Cash,Completed,2026-07-17
O000088,C0158,P0145,W019,1,49.46,0.1,49.36,Cash,Pending,2026-04-03
O000089,C0471,P0189,W007,6,416.57,486.01,2013.41,Credit Card,Cancelled,2026-07-29
O000090,C0163,P0121,W013,10,650.82,678.13,5830.07,Debit Card,Pending,2026-03-18
O000091,C0236,P0085,W012,10,734.45,1427.36,5917.14,Credit Card,Completed,2025-12-15
O000092,C0232,P0163,W006,1,561.9,7.61,554.29,UPI,Pending,2025-12-29
O000093,C0042,P0108,W013,2,467.1,44.65,889.55,Debit Card,Completed,2026-05-29
O000094,C0121,P0167,W001,7,121.8,160.78,691.82,UPI,Pending,2025-12-10
O000095,C0253,P0080,W020,4,24.4,1.44,96.16,UPI,Completed,2025-09-14
O000096,C0106,P0039,W006,9,696.37,536.46,5730.87,Debit Card,Completed,2026-03-27
O000097,C0110,P0128,W020,1,366.55,29.03,337.52,Credit Card,Pending,2026-04-21
O000098,C0173,P0030,W005,2,129.09,38.72,219.46,Debit Card,Pending,2025-09-23
O000099,C0005,P0026,W016,6,424.88,199.89,2349.39,Net Banking,Completed,2025-08-05
O000100,C0145,P0044,W010,5,509.99,82.9,2467.05,Debit Card,Completed,2025-12-10
O000101,C0466,P0172,W016,10,355.99,664.9,2895.0,Debit Card,Cancelled,2025-11-29
O000102,C0112,P0012,W015,6,342.53,181.79,1873.39,Credit Card,Pending,2025-12-18
O000103,C0364,P0119,W010,4,123.87,74.68,420.8,UPI,Cancelled,2025-08-29
O000104,C0288,P0061,W018,1,427.25,29.04,398.21,Net Banking,Completed,2026-04-08
O000105,C0265,P0151,W010,1,359.46,13.96,345.5,UPI,Completed,2025-08-25
O000106,C0017,P0075,W014,8,153.98,20.96,1210.88,UPI,Cancelled,2025-10-19
O000107,C0311,P0045,W006,6,74.54,39.98,407.26,Debit Card,Completed,2026-02-21
O000108,C0346,P0153,W020,3,97.2,50.18,241.42,Net Banking,Completed,2025-12-11
O000109,C0405,P0137,W017,4,70.49,16.96,265.0,Credit Card,Completed,2026-02-19
O000110,C0067,P0120,W012,7,117.95,147.84,677.81,Net Banking,Cancelled,2025-11-03
O000111,C0324,P0049,W003,6,200.77,168.73,1035.89,UPI,Completed,2025-11-08
O000112,C0257,P0061,W015,9,427.25,535.18,3310.07,UPI,Completed,2025-09-24
O000113,C0217,P0052,W002,8,697.25,1092.97,4485.03,UPI,Cancelled,2026-07-17
O000114,C0406,P0174,W016,3,288.11,34.28,830.05,UPI,Cancelled,2026-04-11
O000115,C0182,P0020,W013,9,658.43,857.18,5068.69,UPI,Pending,2026-05-22
O000116,C0174,P0150,W019,3,79.1,29.89,207.41,Cash,Completed,2025-11-16
O000117,C0095,P0094,W010,10,536.83,781.66,4586.64,Debit Card,Completed,2026-06-08
O000118,C0275,P0168,W001,2,802.22,223.76,1380.68,Credit Card,Cancelled,2026-02-14
O000119,C0087,P0086,W020,7,781.27,697.12,4771.77,Debit Card,Completed,2025-11-26
